
===============Init Logging================

02/02/2023 - 15:51:43 	===== Ouverture de session =====
02/02/2023 - 16:25:04 	Début du calcul
02/02/2023 - 16:25:04 	Nombre de positions : 100
02/02/2023 - 16:25:04 	Simulation inactivée
02/02/2023 - 16:25:04 	Fin du calcul
02/02/2023 - 16:26:06 	Début du calcul
02/02/2023 - 16:26:06 	Nombre de positions : 100
02/02/2023 - 16:26:06 	Simulation inactivée
02/02/2023 - 16:26:06 	Fin du calcul
02/02/2023 - 16:27:19 	Début du calcul
02/02/2023 - 16:27:19 	Nombre de positions : 100
02/02/2023 - 16:27:19 	Simulation inactivée
02/02/2023 - 16:27:21 	Fin du calcul
02/02/2023 - 16:32:19 	Début du calcul
02/02/2023 - 16:32:19 	Nombre de positions : 100
02/02/2023 - 16:32:19 	Simulation inactivée
02/02/2023 - 16:32:20 	Fin du calcul
02/02/2023 - 16:52:36 	Début du calcul
02/02/2023 - 16:52:36 	Nombre de positions : 100
02/02/2023 - 16:52:36 	Simulation inactivée
02/02/2023 - 16:52:38 	Fin du calcul
02/02/2023 - 16:53:07 	===== Fermeture de session =====

===============Finish Logging================

